<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ا,20150808,0,0,0,533.33,533,0.00,0,533
جم-ا,20150809,3977.60,3984,3915,3974.93,533,10543677494.00,114,533
جم-ا,20150810,3978.67,3988,3867,3957.33,3975,4531556292.00,86,3975
جم-ا,20150812,3972.27,3972,3840,3949.87,3957,1388057788.00,46,3957
جم-ا,20150815,3946.67,3983,3893,3953.60,3950,2791638219.00,80,3950
جم-ا,20150816,3940.80,3957,3894,3948.27,3954,4759285874.00,103,3954
جم-ا,20150817,3960.00,3989,3898,3950.40,3948,2736966301.00,84,3948
جم-ا,20150818,3899.73,3989,3900,3948.80,3950,1909589489.00,50,3950
جم-ا,20150819,3944.53,3984,3897,3951.47,3949,2935621432.00,52,3949
جم-ا,20150822,3946.67,3947,3907,3951.47,3951,163638200.00,18,3951
جم-ا,20150823,3968.00,3968,3840,3950.40,3951,171323010.00,26,3951
جم-ا,20150824,3824.00,3882,3824,3945.07,3950,463543267.00,30,3950
جم-ا,20150825,3813.87,3840,3760,3936.53,3945,549864095.00,70,3945
جم-ا,20150826,3771.20,4107,3740,3959.47,3937,10687613376.00,190,3937
جم-ا,20150829,4101.33,4101,3963,3960.00,3959,262833017.00,21,3959
جم-ا,20150830,3990.93,4008,3842,3967.47,3960,3162210948.00,52,3960
جم-ا,20150831,4000.00,4000,3787,3902.40,3967,4899084995.00,145,3967
جم-ا,20150901,3920.00,3947,3872,3914.13,3902,3228129550.00,46,3902
جم-ا,20150902,3948.27,3948,3840,3914.67,3914,299673500.00,19,3914
جم-ا,20150905,3945.60,3946,3835,3908.80,3915,922220056.00,38,3915
جم-ا,20150906,3841.60,3893,3835,3905.60,3909,466517063.00,34,3909
جم-ا,20150907,3824.53,3947,3808,3912.00,3906,2064929957.00,55,3906
جم-ا,20150908,3930.67,3936,3867,3913.60,3912,1629440308.00,56,3912
جم-ا,20150909,3930.67,3931,3854,3912.00,3914,481078568.00,49,3914
جم-ا,20150912,3893.33,3947,3835,3921.60,3912,3717166908.00,67,3912
جم-ا,20150913,3832.00,4117,3830,4012.80,3922,121229939299.00,147,3922
جم-ا,20150914,3893.33,3893,3841,4010.67,4013,160805334.00,21,4013
